Month,Year,Country,Ownership,Type,Quantity,Gasoline_km,Gasoline_lt,Gasoline_$ (US Dlls),Gasoline_Quantity,Diesel_km,Diesel_lt,Diesel_$ (US Dlls),Diesel_Quantity,Ethanol_km,Ethanol_lt,Ethanol_$ (US Dlls),Ethanol_Quantity,LPG(gas)_km,LPG(gas)_lt,LPG(gas)_$ (US Dlls),LPG(gas)_Quantity,NCG (gas)_km,NCG (gas)_lt,NCG (gas)_$ (US Dlls),NCG (gas)_Quantity,Electric_km,Electric_kWh,Electric_$ (US Dlls),Electric_Quantity
January,2023,Canada,"owned, leased or renting",tractor,,,,,,,,,,,,,,,,,,,,,,,,,
January,2023,Canada,"owned, leased or renting",route trucks,,,,,,,,,,,,,,,,,,,,,,,,,
January,2023,Canada,"owned, leased or renting",supervision,,,,,,,,,,,,,,,,,,,,,,,,,
January,2023,Canada,"owned, leased or renting",executives,,,,,,,,,,,,,,,,,,,,,,,,,
January,2023,Canada,"owned, leased or renting",others,,,,,,,,,,,,,,,,,,,,,,,,,
January,2023,Canada,Independent Operators,route trucks,"1,100",,,,,"2,028,000","507,000","$668,987","1,100",,,,,,,,,,,,,,,,
January,2023,Canada,Logistic Operators (3PL),tractor,,,,,,"2,617,467.00","1,177,860.15","$1,721,771.43",849,,,,,,,,,,,,,,,,
February,2023,Canada,"owned, leased or renting",tractor,,,,,,,,,,,,,,,,,,,,,,,,,
February,2023,Canada,"owned, leased or renting",route trucks,,,,,,,,,,,,,,,,,,,,,,,,,
February,2023,Canada,"owned, leased or renting",supervision,,,,,,,,,,,,,,,,,,,,,,,,,
February,2023,Canada,"owned, leased or renting",executives,,,,,,,,,,,,,,,,,,,,,,,,,
February,2023,Canada,"owned, leased or renting",others,,,,,,,,,,,,,,,,,,,,,,,,,
February,2023,Canada,Independent Operators,route trucks,"1,100",,,,,"2,028,000","507,000","$668,987","1,100",,,,,,,,,,,,,,,,
February,2023,Canada,Logistic Operators (3PL),tractor,,,,,,"2,443,422.00","1,099,539.90","$1,447,795.66",849,,,,,,,,,,,,,,,,
March,2023,Canada,"owned, leased or renting",tractor,,,,,,,,,,,,,,,,,,,,,,,,,
March,2023,Canada,"owned, leased or renting",route trucks,,,,,,,,,,,,,,,,,,,,,,,,,
March,2023,Canada,"owned, leased or renting",supervision,,,,,,,,,,,,,,,,,,,,,,,,,
March,2023,Canada,"owned, leased or renting",executives,,,,,,,,,,,,,,,,,,,,,,,,,
March,2023,Canada,"owned, leased or renting",others,,,,,,,,,,,,,,,,,,,,,,,,,
March,2023,Canada,Independent Operators,route trucks,"1,100",,,,,"2,028,000","507,000","$668,987","1,100",,,,,,,,,,,,,,,,
March,2023,Canada,Logistic Operators (3PL),tractor,,,,,,"2,851,380.00","1,283,121.00","$1,588,661.73",868,,,,,,,,,,,,,,,,
April,2023,Canada,"owned, leased or renting",tractor,,,,,,,,,,,,,,,,,,,,,,,,,
April,2023,Canada,"owned, leased or renting",route trucks,,,,,,,,,,,,,,,,,,,,,,,,,
April,2023,Canada,"owned, leased or renting",supervision,,,,,,,,,,,,,,,,,,,,,,,,,
April,2023,Canada,"owned, leased or renting",executives,,,,,,,,,,,,,,,,,,,,,,,,,
April,2023,Canada,"owned, leased or renting",others,,,,,,,,,,,,,,,,,,,,,,,,,
April,2023,Canada,Independent Operators,route trucks,"1,100",,,,,"2,028,000","507,000","$668,987","1,100",,,,,,,,,,,,,,,,
April,2023,Canada,Logistic Operators (3PL),tractor,,,,,,"2,796,696.00","1,258,513.20","$1,525,894.76",868,,,,,,,,,,,,,,,,
May,2023,Canada,"owned, leased or renting",tractor,,,,,,,,,,,,,,,,,,,,,,,,,
May,2023,Canada,"owned, leased or renting",route trucks,,,,,,,,,,,,,,,,,,,,,,,,,
May,2023,Canada,"owned, leased or renting",supervision,,,,,,,,,,,,,,,,,,,,,,,,,
May,2023,Canada,"owned, leased or renting",executives,,,,,,,,,,,,,,,,,,,,,,,,,
May,2023,Canada,"owned, leased or renting",others,,,,,,,,,,,,,,,,,,,,,,,,,
May,2023,Canada,Independent Operators,route trucks,"1,100",,,,,"2,535,000","633,750","$836,233","1,100",,,,,,,,,,,,,,,,
May,2023,Canada,Logistic Operators (3PL),tractor,,,,,,"3,248,640.00","1,461,888.00","$1,668,412.12",864,,,,,,,,,,,,,,,,
June,2023,Canada,"owned, leased or renting",tractor,,,,,,,,,,,,,,,,,,,,,,,,,
June,2023,Canada,"owned, leased or renting",route trucks,,,,,,,,,,,,,,,,,,,,,,,,,
June,2023,Canada,"owned, leased or renting",supervision,,,,,,,,,,,,,,,,,,,,,,,,,
June,2023,Canada,"owned, leased or renting",executives,,,,,,,,,,,,,,,,,,,,,,,,,
June,2023,Canada,"owned, leased or renting",others,,,,,,,,,,,,,,,,,,,,,,,,,
June,2023,Canada,Independent Operators,route trucks,"1,100",,,,,"2,028,000","507,000","$668,987","1,100",,,,,,,,,,,,,,,,
June,2023,Canada,Logistic Operators (3PL),tractor,,,,,,,,,,,,,,,,,,,,,,,,,
July,2023,Canada,"owned, leased or renting",tractor,,,,,,,,,,,,,,,,,,,,,,,,,
July,2023,Canada,"owned, leased or renting",route trucks,,,,,,,,,,,,,,,,,,,,,,,,,
July,2023,Canada,"owned, leased or renting",supervision,,,,,,,,,,,,,,,,,,,,,,,,,
July,2023,Canada,"owned, leased or renting",executives,,,,,,,,,,,,,,,,,,,,,,,,,
July,2023,Canada,"owned, leased or renting",others,,,,,,,,,,,,,,,,,,,,,,,,,
July,2023,Canada,Independent Operators,route trucks,"1,100",,,,,"2,028,000","507,000","$668,987","1,100",,,,,,,,,,,,,,,,
